ep_info/run,ep_info/ctrl,__wall_time_min__
-5.364540863907584,-327.39569722612674,135.6
-5.988233907592984,-327.79641392330245,135.6
-6.321424297838855,-334.4042118092375,135.6
-7.600170235519314,-337.8292506734532,135.6
-1.772140592275435,-332.4137984178962,135.6
-3.497494160660336,-357.57922253012646,135.6
-8.269779896907927,-366.93916066984343,135.6
-2.3605325109926447,-350.28875883420324,135.6
-3.145246107847939,-344.69981618722204,135.6
-8.677677299689442,-342.9293888683122,135.6
-7.056686936220091,-339.3747070978082,135.6
-2.9453400941818932,-330.8140247017145,135.6
-13.353331901900187,-332.8189585606258,135.6
-5.32934929620297,-322.77382516364264,135.6
-14.467957669691915,-321.67313631375663,135.6
-13.656516571129263,-315.3690351744494,135.6
-6.0546276340146195,-309.67831200361235,135.6
4.532569169093691,-306.39750072360044,135.6
-7.059202982930302,-298.07718620946,135.6
-9.374122924671939,-287.43729377538034,135.6
-7.696885730286377,-279.15086421867215,135.6
0.38588411230561526,-269.0005000320572,135.6
-1.6918235979396918,-251.80814336737012,135.6
-2.907535076449714,-244.0578832527003,135.6
-2.9702500192429953,-227.5111354415616,135.6
2.4382803695494766,-207.75012684613472,135.6
-0.9069980238262647,-185.5816116308174,135.6
2.5484612643747875,-169.89247579624254,135.6
7.516335392712084,-154.11242651194354,135.6
6.520351069656893,-140.519562933594,135.6
12.784473550418326,-118.57962067673623,135.6
18.753118262343623,-108.55130679657063,135.6
7.670643323474189,-268.0559792742129,135.6
7.51868046188077,-259.03692900141084,135.6
13.356376456600938,-247.87122069299238,135.6
111.04058072318601,-289.74430655191367,135.6
86.67193419136254,-272.0537447755534,135.6
116.39539597621415,-304.9590033094094,135.6
128.045148842481,-332.45413155605416,135.6
177.68359982075884,-374.185897633434,135.6
191.301941264934,-420.36713410913933,135.6
200.61767600865838,-394.0279017190129,135.6
220.01577971136706,-414.34781530002715,135.6
231.8591847966287,-424.345408077041,135.6
236.5691258355554,-453.02173262710437,135.6
260.9348003086431,-463.46052440504224,135.6
246.39917229077852,-479.66399305065505,135.6
286.6525668600979,-492.5928365762033,135.6
272.7567857146749,-500.5774371549485,135.6
127.35419256012858,-283.85996246368916,135.6
290.59639880567784,-515.695998348295,135.6
84.5268720873778,-236.3256500791756,135.6
294.97809456414154,-525.7417541891336,135.6
301.42218918886465,-529.9222941547632,135.6
290.88508992582604,-527.9618865003183,135.6
336.54803703263644,-522.0727039972942,135.6
313.49603972539626,-516.1811686928074,135.6
176.33557586887042,-304.3484832948692,135.6
330.53538156122397,-511.93720359106817,135.6
343.14434124117304,-513.3046775758266,135.6
339.78380517194785,-507.58254971603543,135.6
348.9275966022805,-494.990536805242,135.6
195.5207017083797,-310.3615321607015,135.6
351.0544353156443,-477.2419938296086,135.6
357.0911890295956,-482.2439501310385,135.6
346.25043896203607,-474.2996846785144,135.6
352.9967159124496,-458.2747866424423,135.6
335.19214246673425,-451.35336497239746,135.6
358.52770439051073,-440.033701469501,135.6
363.4781276986614,-427.41277990490215,135.6
368.5927920678906,-424.71551913519664,135.6
359.73401632849135,-419.7129957067469,135.6
370.0427299247658,-418.0062447202706,135.6
371.8705863527183,-412.9827419618769,135.6
360.0650739296019,-407.5566171705723,135.6
377.5355767242369,-407.4718984415127,135.6
370.3063838401256,-410.1567582810917,135.6
382.1242533149705,-405.2384360631302,135.6
383.3549820446924,-401.45847513278306,135.6
380.14050810435447,-387.20477836330764,135.6
383.21970871334366,-381.0810650562242,135.6
387.81823430153077,-379.2083796709778,135.6
384.9435790102376,-381.360745063673,135.6
380.91814977598983,-371.807069465518,135.6
383.654557504114,-370.4727204913897,135.6
386.8932625424924,-371.62988372302345,135.6
377.75538954736163,-370.40854899585247,135.6
382.19656091525167,-364.77192497750076,135.6
382.25994734197184,-363.54964098334307,135.6
391.64816882629526,-371.8550312419727,135.6
392.5641248068397,-367.4471450746057,135.6
384.3728237717402,-356.9918508256473,135.6
400.3581456626187,-367.85812310998665,135.6
397.0753474386803,-364.8365161319572,135.6
391.95886569508735,-363.968277849257,135.6
391.27384439497695,-358.50845372676844,135.6
400.319481893263,-363.59165352831315,135.6
399.90955069811866,-362.1258238057294,135.6
398.49502300123845,-361.214418416222,135.6
402.09723770172775,-361.9236192032697,135.6
400.4096539614952,-365.4692629625399,135.6
407.8039409748199,-363.2542378256717,135.6
406.00580399649255,-355.4298564679918,135.6
410.3554103303983,-360.51282826066097,135.6
409.7169609860272,-363.2440375487011,135.6
412.1612553540239,-359.4532780076066,135.6
404.55025978851023,-363.9987911085288,135.6
412.682863480047,-368.35662815719866,135.6
413.6042897049599,-360.6289134571951,135.6
423.62359655880175,-374.6862961997592,135.6
424.4485378227444,-366.1500325103598,135.6
416.8286188010987,-364.43155257652234,135.6
426.17774839194124,-364.35185338556744,135.6
426.8042778947134,-360.0145597830417,135.6
425.28024340777154,-366.7081076552474,135.6
426.4250433161184,-368.86668107410253,135.6
433.1173345794282,-375.7894523193431,135.6
433.97588472320257,-370.65647132322175,135.6
437.4770871449375,-373.0777639249959,135.6
433.7631632215097,-368.698084530731,135.6
