objective_1,objective_2,__wall_time_min__
25.612472685214094,-23.54958506662001,608.1236468791961
21.632818302721244,-22.228613129419635,608.1236468791961
22.384447395002045,-22.8317562720335,608.1236468791961
29.23970820017819,-25.999989607624524,608.1236468791961
608.9268627501849,-36.997437564545635,608.1236468791961
615.7555417845608,-37.07716672576807,608.1236468791961
618.0992034999712,-36.60084579540726,608.1236468791961
631.6360206619953,-36.477154797844925,608.1236468791961
637.2262825120881,-36.537751052316345,608.1236468791961
617.063184011419,-36.482490799946206,608.1236468791961
615.1238471913791,-36.89706313284951,608.1236468791961
618.240855362604,-36.53365885291733,608.1236468791961
633.0497085237469,-36.38566617347942,608.1236468791961
626.6960906037245,-36.28050258636404,608.1236468791961
637.2476401984343,-36.32320782132829,608.1236468791961
631.3348444431322,-36.28774846764154,608.1236468791961
619.4419441587874,-36.87205300339228,608.1236468791961
625.3829782576183,-36.62809843088071,608.1236468791961
627.2488121341273,-37.07572912735295,608.1236468791961
629.9373586699309,-36.50618483212647,608.1236468791961
626.6751757609367,-36.90251688975441,608.1236468791961
634.1879301607784,-36.11099342997013,608.1236468791961
615.5261180291011,-37.49422643080343,608.1236468791961
619.938616821228,-36.52066429780207,608.1236468791961
631.6442673881771,-36.549034931854294,608.1236468791961
618.7145368998579,-36.73427846842842,608.1236468791961
620.2244415656023,-36.77773277461747,608.1236468791961
627.1895137840532,-36.42138003909586,608.1236468791961
621.2704872606846,-36.34603577783355,608.1236468791961
636.9356446210411,-36.59957704140534,608.1236468791961
629.753174628946,-36.84433962455596,608.1236468791961
629.2870292207401,-36.92425418184102,608.1236468791961
635.5108067665948,-37.04645346556381,608.1236468791961
629.024888881488,-37.09299861109603,608.1236468791961
629.7920074827562,-36.76723919521619,608.1236468791961
628.227657989919,-36.23333442427556,608.1236468791961
629.2364973685005,-36.71452748114352,608.1236468791961
624.9752973798662,-36.31494394248775,608.1236468791961
626.213899687212,-36.4446522897686,608.1236468791961
619.1969936360489,-36.579875210739104,608.1236468791961
628.8515121194417,-36.265073194426535,608.1236468791961
632.5196752260206,-36.381299890933676,608.1236468791961
638.4925337685388,-36.08658375514888,608.1236468791961
625.8121248313225,-36.60722571170927,608.1236468791961
634.8841993482492,-36.52502565837367,608.1236468791961
620.1674057286116,-36.99723079294326,608.1236468791961
629.9074139657081,-36.62738128854735,608.1236468791961
636.5250656954013,-36.59218450959779,608.1236468791961
634.2492915160256,-36.354350623319895,608.1236468791961
637.333956879226,-36.37443194772877,608.1236468791961
629.2974088325224,-36.86109527571243,608.1236468791961
625.4699100079655,-36.3662329153005,608.1236468791961
630.5679661424423,-36.729331747572544,608.1236468791961
629.1676268858952,-36.692796434207956,608.1236468791961
632.214861304313,-36.475490843203985,608.1236468791961
625.3895715083752,-36.282720309890735,608.1236468791961
635.883013113588,-36.878263643139505,608.1236468791961
635.7744157460809,-36.29444584238372,608.1236468791961
623.0797426582606,-36.951453898150795,608.1236468791961
635.5912090460537,-36.59731158701188,608.1236468791961
634.7145490675233,-36.282270589010935,608.1236468791961
631.5673669229029,-35.95795385892761,608.1236468791961
630.3106234197854,-36.31990534881906,608.1236468791961
632.3146574541461,-36.489478238300215,608.1236468791961
638.8022819079691,-36.47678681318803,608.1236468791961
625.4887765553606,-36.79151450240151,608.1236468791961
635.8359123203729,-36.68455123527865,608.1236468791961
627.715770691412,-36.18687930858359,608.1236468791961
638.7922241338471,-36.49403323625429,608.1236468791961
632.522487094882,-36.56243624646849,608.1236468791961
640.3362589511962,-36.22573391701744,608.1236468791961
617.78708038131,-37.01574435498905,608.1236468791961
624.9661121035169,-36.6625714051318,608.1236468791961
633.4158013763081,-36.13873944987481,608.1236468791961
635.545127664908,-37.05428414313055,608.1236468791961
630.8567338588822,-36.84166689214453,608.1236468791961
609.6122145122441,-37.101032071048756,608.1236468791961
626.4633588737285,-36.4841092452556,608.1236468791961
633.5036130004737,-36.94032612111941,608.1236468791961
629.3773615008337,-36.30359200997127,608.1236468791961
639.201630743721,-35.77922133967131,608.1236468791961
632.0636767023941,-36.075421925051614,608.1236468791961
622.9977352118119,-36.612230522886605,608.1236468791961
627.2517430867301,-36.571402393936026,608.1236468791961
628.6134733898914,-36.48620333480339,608.1236468791961
627.9598235586425,-36.48193790389705,608.1236468791961
626.0543602363789,-36.423467217276176,608.1236468791961
626.4583723348973,-36.03590226176029,608.1236468791961
633.8536425816594,-36.92363125381807,608.1236468791961
633.219324283069,-36.45721797283268,608.1236468791961
626.9659577822953,-37.106487089658366,608.1236468791961
632.1416103215248,-36.745406140698925,608.1236468791961
630.6695814595616,-36.611627622694414,608.1236468791961
633.9743159333244,-36.40012934444576,608.1236468791961
630.283884844734,-37.2170494027956,608.1236468791961
626.7454856639088,-36.892701616918295,608.1236468791961
639.8517813809798,-36.566233624520464,608.1236468791961
621.2092116396467,-36.708894422486445,608.1236468791961
624.2240854029427,-35.864221234694014,608.1236468791961
629.6835832037614,-36.23946108916825,608.1236468791961
