objective_1,objective_2,__wall_time_min__
198.20814455774598,-31.14871910392376,8571.751759811243
307.2470618709755,-33.7589717401861,8571.751759811243
570.7777336671949,-33.83440960711759,8571.751759811243
576.1707205523911,-34.553005097669576,8571.751759811243
573.1158758939594,-33.946925138199276,8571.751759811243
575.3855507878063,-34.52456512697627,8571.751759811243
573.9578369738243,-34.39456461307918,8571.751759811243
580.9719212141412,-34.96428195223943,8571.751759811243
578.6269727214006,-34.61209012323197,8571.751759811243
579.2387684385991,-34.69464016507136,8571.751759811243
