ep_info/run,ep_info/ctrl,__wall_time_min__
-3.1828886066562787,-334.3040544092656,159.4
0.9165857561767374,-331.4958721250297,159.4
-2.53943388608213,-341.4911286532883,159.4
-1.6039172429709354,-336.24922423561407,159.4
-6.945625314539776,-331.53904008368636,159.4
0.9943966410580886,-355.99153330425423,159.4
-17.421387586485025,-357.7162139241897,159.4
-7.172559618848542,-355.6853974610568,159.4
-8.402566387675982,-342.8343593676889,159.4
-2.552677807864892,-338.8565432826673,159.4
-1.8422410242491116,-330.69367890308337,159.4
-9.669808686516035,-334.10143262892956,159.4
3.967306320624589,-330.40427837272483,159.4
-6.273382112228829,-328.6696958442531,159.4
-3.3972264769570133,-327.53794377048786,159.4
-4.821453982202432,-319.6863576695323,159.4
-8.421979186611678,-307.4570801109076,159.4
-2.3131502257815915,-305.4209828625119,159.4
-5.086104931601409,-294.1001154755555,159.4
-8.504327675972476,-279.87565463036293,159.4
2.0250336789273073,-275.16052403549355,159.4
4.611552477186766,-262.06039375315106,159.4
-4.233802358043659,-246.80185069640493,159.4
-0.3917699474561066,-239.7012784915663,159.4
-1.121227254643154,-218.1470611914989,159.4
4.395397946335446,-200.39627626289902,159.4
-1.0688055431903718,-190.62110918015227,159.4
10.220114775612139,-168.3748157645266,159.4
11.77517011143648,-151.4022582881151,159.4
11.746633137954497,-136.32915451253444,159.4
18.565950886464027,-124.60731096441538,159.4
17.018717977692493,-110.3979164436459,159.4
12.63958756027956,-261.77544792741537,159.4
10.815937782190016,-252.54098744193703,159.4
26.702189823786767,-240.58925346750794,159.4
20.999153900560355,-220.9849678128954,159.4
100.19827908998289,-248.56894295662636,159.4
23.385669918278044,-219.0440652370453,159.4
141.86835679879258,-272.3255889068044,159.4
156.8103043284528,-296.9752816011508,159.4
178.55163937491176,-331.5615402112406,159.4
193.7985630289332,-346.9850159237782,159.4
211.42289319782896,-397.30014446626103,159.4
222.87032891010858,-439.97431047260727,159.4
245.2852515686418,-463.3304878547786,159.4
236.8990801462995,-469.8107415139668,159.4
249.34667845030577,-467.331667860349,159.4
263.2092457098526,-502.51843991875626,159.4
269.7829738677783,-513.0693524281181,159.4
285.0939292522361,-526.5581133216618,159.4
288.3149096434905,-542.8830614735688,159.4
257.7561489340676,-495.5809820964937,159.4
309.9117042474978,-567.132871195674,159.4
304.5623325057627,-559.0500856439269,159.4
250.5488981485259,-482.5819453323879,159.4
311.6947849433194,-554.9809835950533,159.4
132.22815878550222,-326.35635820155386,159.4
308.6646159995514,-553.4624968916181,159.4
305.29328755903543,-548.7985377113017,159.4
316.4457687955623,-534.7058467467629,159.4
319.55051795665173,-534.5215916732944,159.4
316.38228316352945,-522.7263930092246,159.4
327.8511555868195,-521.1372273614008,159.4
323.4239814077532,-498.4081335092584,159.4
324.8084434493585,-479.3235464058818,159.4
332.03117343726285,-479.4378210778036,159.4
314.982416840173,-445.3042508512734,159.4
325.4926681045417,-443.18082486093107,159.4
324.4830291752899,-415.6736666982374,159.4
314.366616610129,-395.7030621096489,159.4
307.31403250855374,-383.7116890052958,159.4
318.44030011611756,-380.9025093366698,159.4
302.48458263069585,-349.18152034779445,159.4
303.2868342137732,-335.5850790565213,159.4
303.9068470944641,-328.8884469370042,159.4
308.33235057791353,-331.8269265592097,159.4
300.71124804620587,-312.8958587211866,159.4
284.0552305323416,-295.72547007910936,159.4
286.16530743049464,-284.9589584798866,159.4
282.3506812508303,-281.1079223851364,159.4
280.2926223967357,-282.0617592210569,159.4
292.2105571199094,-293.6466239318251,159.4
295.8196867138965,-292.427519908796,159.4
286.8212442741989,-285.44158125792956,159.4
292.9782580883935,-294.52017764871357,159.4
288.49515827861615,-290.4783226866275,159.4
288.09107545511796,-285.41170849247555,159.4
292.894548170156,-288.3481337316335,159.4
304.67129710685015,-291.84341179827857,159.4
304.4628208171874,-296.054299790412,159.4
304.72588056403526,-296.93670029814047,159.4
303.20920120215004,-297.9454150392364,159.4
308.51144355037064,-303.3667777801549,159.4
306.32881030209836,-295.8972500860692,159.4
310.6793136994859,-303.07092969367847,159.4
314.50847558217407,-315.15744715929014,159.4
314.7030784689834,-323.10532447447406,159.4
317.5580390391074,-317.65495291352255,159.4
315.02456365603604,-314.9121273656682,159.4
324.091912825747,-320.84850042375393,159.4
322.7359562804856,-331.7335153967143,159.4
315.7756641496107,-323.84397907430935,159.4
312.9851616910731,-326.02198924372647,159.4
321.57739965231735,-328.69960322231066,159.4
325.89323642449585,-335.575068179518,159.4
321.6810007240515,-337.79791890084766,159.4
333.3290564857388,-346.8456581011412,159.4
331.524891857605,-352.07478156685875,159.4
336.30947134320616,-373.4836208298802,159.4
333.7053173590643,-361.8776543798544,159.4
239.10191837265285,-409.6911175772546,159.4
330.84679103015293,-379.73101635773986,159.4
333.1557221974698,-371.7966511050862,159.4
348.73343341347527,-373.08073064684845,159.4
333.93440825465365,-370.89240084836837,159.4
356.4295187818899,-376.073328572015,159.4
353.2302598756997,-375.7687537185845,159.4
350.6060359705525,-370.0634007478748,159.4
348.50444385224716,-366.47836071252846,159.4
351.3823042783646,-370.53154566884035,159.4
354.6061377872757,-370.22535882641915,159.4
356.3150140819519,-364.36228460570214,159.4
357.10222000180727,-360.72024991239107,159.4
354.4753720425163,-362.0209947054581,159.4
358.51107230276375,-362.0378494039175,159.4
350.93834126245486,-356.55390209952947,159.4
356.1942316003767,-352.02016977717403,159.4
352.77844238559265,-351.83433970871056,159.4
357.54070415910314,-354.0079279268783,159.4
355.4141159153596,-348.3925216781597,159.4
