ep_info/First_minerium,ep_info/Second_minerium,ep_info/Fuel,__wall_time_min__
0.7064134478569031,0.05824069306254387,-3.919999945908785,1016.651870054
0.0,0.0,-5.079999934881926,1016.651870054
0.0,0.0,-3.8999999426305294,1016.651870054
0.9205999970436096,0.5794000029563904,-17.819999761879444,1016.651870054
0.7956998944282532,0.7043001055717468,-6.179999906569719,1016.651870054
0.0,0.0,-7.6599998995661736,1016.651870054
0.0,0.0,-3.4999999403953552,1016.651870054
0.973118782043457,0.526881217956543,-25.25999964028597,1016.651870054
0.21065093576908112,1.28934907913208,-6.479999914765358,1016.651870054
0.9203566908836365,0.5796433091163635,-18.199999772012234,1016.651870054
0.0,0.0,-4.879999939352274,1016.651870054
1.3508316278457642,0.14916843175888062,-16.83999978750944,1016.651870054
0.0,0.0,-9.399999886751175,1016.651870054
0.0,0.0,-5.259999912232161,1016.651870054
0.0,0.0,-4.139999937266111,1016.651870054
0.4160749614238739,0.6644641757011414,-8.599999886006117,1016.651870054
0.1585138440132141,1.3414860963821411,-14.799999814480543,1016.651870054
0.0,0.0,-3.039999958127737,1016.651870054
0.9171785116195679,0.5828214883804321,-11.03999986499548,1016.651870054
0.37265250086784363,0.26841697096824646,-21.639999724924564,1016.651870054
0.0,0.0,-5.099999934434891,1016.651870054
0.0,0.0,-5.619999922811985,1016.651870054
0.679693877696991,0.820306122303009,-13.959999814629555,1016.651870054
0.4292932152748108,1.0707067251205444,-7.379999905824661,1016.651870054
0.6750084161758423,0.8249915838241577,-7.459999904036522,1016.651870054
0.0,0.0,-5.879999917000532,1016.651870054
0.0,0.0,-9.439999893307686,1016.651870054
0.0,0.0,-10.81999984011054,1016.651870054
0.39940890669822693,1.1005910634994507,-7.179999902844429,1016.651870054
0.6551786661148071,0.8448213338851929,-16.87999977916479,1016.651870054
0.0,0.0,-4.159999940544367,1016.651870054
0.35754141211509705,1.1424585580825806,-47.059999361634254,1016.651870054
1.3179935216903687,0.18200646340847015,-14.499999802559614,1016.651870054
0.5172131657600403,0.4669458270072937,-8.599999882280827,1016.651870054
0.0,0.0,-11.019999854266644,1016.651870054
0.0,0.0,-10.219999864697456,1016.651870054
0.0,0.0,-8.83999989554286,1016.651870054
0.0,0.0,-8.8799998909235,1016.651870054
0.0,0.0,-8.41999989375472,1016.651870054
0.8690980672836304,0.6309019327163696,-13.93999981880188,1016.651870054
0.0,0.0,-19.939999721944332,1016.651870054
0.0,0.0,-11.099999848753214,1016.651870054
0.0,0.0,-1.3799999803304672,1016.651870054
0.0,0.0,-1.6999999769032001,1016.651870054
1.4139978885650635,0.08600206673145294,-5.6799999140203,1016.651870054
0.0,0.0,-17.539999775588512,1016.651870054
0.0,0.0,-2.659999966621399,1016.651870054
0.19889606535434723,1.301103949546814,-25.819999683648348,1016.651870054
0.9475510716438293,0.5524489283561707,-16.659999776631594,1016.651870054
0.0,0.0,-3.7199999503791332,1016.651870054
0.6168679594993591,0.8831320405006409,-29.51999958232045,1016.651870054
0.0,0.0,-6.699999913573265,1016.651870054
0.0,0.0,-5.039999932050705,1016.651870054
0.0,0.0,-4.099999949336052,1016.651870054
0.6445450186729431,0.8554549813270569,-5.899999924004078,1016.651870054
0.0,0.0,-4.659999955445528,1016.651870054
0.6245694756507874,0.8754305243492126,-9.899999879300594,1016.651870054
0.0,0.0,-4.679999936372042,1016.651870054
0.8160749673843384,0.12044557929039001,-25.199999660253525,1016.651870054
0.0,0.0,-12.679999832063913,1016.651870054
