_step,ep_info/run,seed,method
999,4.0927788705457,1781379615,DyLam
1999,-3.992475739064995,1781379615,DyLam
2999,-1.0372396623888371,1781379615,DyLam
3999,-1.0242713841079158,1781379615,DyLam
4999,-4.698954850400222,1781379615,DyLam
5999,0.8680975983568409,1781379615,DyLam
6999,-3.1567084000320618,1781379615,DyLam
7999,-9.874636315663157,1781379615,DyLam
8999,4.446643541029356,1781379615,DyLam
9999,-7.795669465946107,1781379615,DyLam
10999,-7.556638632867251,1781379615,DyLam
11999,-3.632294609066097,1781379615,DyLam
12999,1.409465174879002,1781379615,DyLam
13999,-0.897271183199551,1781379615,DyLam
14999,3.837612175334576,1781379615,DyLam
15999,-0.8974355349734474,1781379615,DyLam
16999,-4.770600042912526,1781379615,DyLam
17999,-8.30840252580372,1781379615,DyLam
18999,-4.7449416901361365,1781379615,DyLam
19999,-7.090899176825883,1781379615,DyLam
20999,-7.2032080374142975,1781379615,DyLam
21999,-1.2874063134648717,1781379615,DyLam
22999,0.6930671248438249,1781379615,DyLam
23999,6.0422078211559125,1781379615,DyLam
24999,7.590682392808365,1781379615,DyLam
25999,-0.7493560170427073,1781379615,DyLam
26999,6.306889338762015,1781379615,DyLam
27999,13.395522913699699,1781379615,DyLam
28999,11.335126325293214,1781379615,DyLam
29999,5.049137483660209,1781379615,DyLam
30999,18.86492994178935,1781379615,DyLam
31999,23.793350118506318,1781379615,DyLam
32999,13.791529169495947,1781379615,DyLam
33999,15.984136242128338,1781379615,DyLam
34999,40.77842417480413,1781379615,DyLam
35999,63.59143703983051,1781379615,DyLam
36999,150.16413790193735,1781379615,DyLam
37999,160.73559923514358,1781379615,DyLam
38999,165.8715384196176,1781379615,DyLam
39999,199.08447322640245,1781379615,DyLam
40999,222.45985632422565,1781379615,DyLam
41999,223.98529072735886,1781379615,DyLam
42999,110.79482533103007,1781379615,DyLam
43999,262.34564882961854,1781379615,DyLam
44999,259.62211208215297,1781379615,DyLam
45999,275.3207924202303,1781379615,DyLam
46999,266.8581324045791,1781379615,DyLam
47999,272.8738616284742,1781379615,DyLam
48999,291.9867915959397,1781379615,DyLam
49999,154.59470699177737,1781379615,DyLam
50999,303.0217311152368,1781379615,DyLam
51999,307.4405167460622,1781379615,DyLam
52999,316.3609284452514,1781379615,DyLam
53999,320.65860406859974,1781379615,DyLam
54999,326.65332164205,1781379615,DyLam
55999,337.507048232034,1781379615,DyLam
56999,357.87516986145755,1781379615,DyLam
57999,242.3642171217072,1781379615,DyLam
58999,339.6064812935684,1781379615,DyLam
59999,342.36395417467503,1781379615,DyLam
60999,350.8125538827121,1781379615,DyLam
61999,355.53709649057066,1781379615,DyLam
62999,350.0089001895497,1781379615,DyLam
63999,339.13730596093745,1781379615,DyLam
64999,340.23064491042953,1781379615,DyLam
65999,327.481360134719,1781379615,DyLam
66999,331.3217237475195,1781379615,DyLam
67999,327.3077779300233,1781379615,DyLam
68999,329.74618417813133,1781379615,DyLam
69999,318.9955871849048,1781379615,DyLam
70999,309.0879592514783,1781379615,DyLam
71999,307.22564774025574,1781379615,DyLam
72999,310.9145649996355,1781379615,DyLam
73999,312.3730597214188,1781379615,DyLam
74999,313.50881886322054,1781379615,DyLam
75999,298.44431879972365,1781379615,DyLam
76999,304.58415833218515,1781379615,DyLam
77999,310.0157116908159,1781379615,DyLam
78999,311.29698275158864,1781379615,DyLam
79999,316.3043345994745,1781379615,DyLam
80999,312.42246881235565,1781379615,DyLam
81999,326.547130620091,1781379615,DyLam
82999,320.6622063028917,1781379615,DyLam
83999,322.17823595069274,1781379615,DyLam
84999,331.05487635121693,1781379615,DyLam
85999,324.7450849946114,1781379615,DyLam
86999,324.0406536929588,1781379615,DyLam
87999,342.9978445845753,1781379615,DyLam
88999,333.36206931613253,1781379615,DyLam
89999,349.9958713924424,1781379615,DyLam
90999,351.81033901137323,1781379615,DyLam
91999,361.87228676193536,1781379615,DyLam
92999,358.55236540857766,1781379615,DyLam
93999,365.3707391256905,1781379615,DyLam
94999,361.47786198630706,1781379615,DyLam
95999,370.60885909414026,1781379615,DyLam
96999,361.12534542562315,1781379615,DyLam
97999,369.30718544196077,1781379615,DyLam
98999,367.8098737255488,1781379615,DyLam
99999,362.72993787564906,1781379615,DyLam
100999,384.27313583149305,1781379615,DyLam
101999,382.75062650800487,1781379615,DyLam
102999,388.8922302455288,1781379615,DyLam
103999,380.0839932581789,1781379615,DyLam
104999,392.5064470169072,1781379615,DyLam
105999,397.4287632148123,1781379615,DyLam
106999,393.2082105856374,1781379615,DyLam
107999,397.93711283873915,1781379615,DyLam
108999,405.1499949159239,1781379615,DyLam
109999,396.55388009594094,1781379615,DyLam
110999,408.85547350108357,1781379615,DyLam
111999,412.8987973046042,1781379615,DyLam
112999,417.16584994459777,1781379615,DyLam
113999,430.3714909626545,1781379615,DyLam
114999,425.0794335384173,1781379615,DyLam
115999,432.8571669351434,1781379615,DyLam
116999,442.0454078738946,1781379615,DyLam
117999,431.63403199663753,1781379615,DyLam
118999,422.4934136004424,1781379615,DyLam
119999,452.7197567747551,1781379615,DyLam
120999,443.85256244681926,1781379615,DyLam
121999,370.5890713450084,1781379615,DyLam
122999,433.0798568298379,1781379615,DyLam
123999,442.61704021440016,1781379615,DyLam
124999,470.4469703498128,1781379615,DyLam
125999,474.1181359763492,1781379615,DyLam
126999,476.9300663724577,1781379615,DyLam
127999,477.29552392417526,1781379615,DyLam
128999,473.76095997723576,1781379615,DyLam
129999,473.95309141886423,1781379615,DyLam
130999,487.0643950413117,1781379615,DyLam
131999,506.6219422948151,1781379615,DyLam
132999,470.72214379028014,1781379615,DyLam
133999,499.82641601267574,1781379615,DyLam
134999,505.32913715100034,1781379615,DyLam
135999,508.6706751803167,1781379615,DyLam
136999,493.5895504121802,1781379615,DyLam
137999,500.13520003471746,1781379615,DyLam
138999,510.18079508471584,1781379615,DyLam
139999,502.6919710245915,1781379615,DyLam
140999,523.6436758425326,1781379615,DyLam
141999,513.4204050599797,1781379615,DyLam
142999,510.140381489399,1781379615,DyLam
143999,504.9231708543713,1781379615,DyLam
144999,518.2483018619445,1781379615,DyLam
145999,508.30615129394374,1781379615,DyLam
146999,532.6104566104286,1781379615,DyLam
147999,524.7240073172379,1781379615,DyLam
148999,522.8602215966005,1781379615,DyLam
149999,514.3225258271003,1781379615,DyLam
150999,521.1077626831205,1781379615,DyLam
151999,520.2454775800957,1781379615,DyLam
152999,533.1334457546026,1781379615,DyLam
153999,537.0336263496865,1781379615,DyLam
154999,534.6545859323769,1781379615,DyLam
155999,516.5850797246967,1781379615,DyLam
156999,503.16580499871856,1781379615,DyLam
157999,523.7660763517206,1781379615,DyLam
158999,529.8243251797408,1781379615,DyLam
159999,539.0626051192133,1781379615,DyLam
160999,546.7836744126206,1781379615,DyLam
161999,531.7556194629088,1781379615,DyLam
162999,519.3702096653741,1781379615,DyLam
163999,561.2492718990366,1781379615,DyLam
164999,512.3585481587727,1781379615,DyLam
165999,569.8603731321274,1781379615,DyLam
166999,532.3066604916584,1781379615,DyLam
167999,518.45167895897,1781379615,DyLam
168999,529.5485698088714,1781379615,DyLam
169999,551.4326912128846,1781379615,DyLam
170999,536.6420771444625,1781379615,DyLam
171999,566.3071404857833,1781379615,DyLam
172999,543.4104600235305,1781379615,DyLam
173999,544.509783965772,1781379615,DyLam
174999,545.9403420838312,1781379615,DyLam
175999,535.901809943149,1781379615,DyLam
176999,556.1293177817985,1781379615,DyLam
177999,550.4292800750611,1781379615,DyLam
178999,565.8845312614914,1781379615,DyLam
179999,558.0333569829882,1781379615,DyLam
180999,557.3119536173515,1781379615,DyLam
181999,565.4493029984415,1781379615,DyLam
182999,568.2130692315981,1781379615,DyLam
183999,575.0962193247253,1781379615,DyLam
184999,556.7498461537502,1781379615,DyLam
185999,574.2249024569013,1781379615,DyLam
186999,583.9234202505693,1781379615,DyLam
187999,591.6406818200793,1781379615,DyLam
188999,573.5511868028667,1781379615,DyLam
189999,573.5531798191489,1781379615,DyLam
190999,588.0146174123513,1781379615,DyLam
191999,583.2800255436362,1781379615,DyLam
192999,564.3095848104866,1781379615,DyLam
193999,575.8908998314593,1781379615,DyLam
194999,558.3738469432685,1781379615,DyLam
195999,565.7916292278522,1781379615,DyLam
196999,580.4604182616458,1781379615,DyLam
197999,594.5846295278243,1781379615,DyLam
198999,599.1398862652428,1781379615,DyLam
199999,569.9868236233763,1781379615,DyLam
200999,568.2478713921571,1781379615,DyLam
201999,584.9031244515099,1781379615,DyLam
202999,569.9407748067426,1781379615,DyLam
203999,563.4082623928587,1781379615,DyLam
204999,543.3767205051286,1781379615,DyLam
205999,577.3907714274899,1781379615,DyLam
206999,230.4901132294085,1781379615,DyLam
207999,557.298052101117,1781379615,DyLam
208999,573.5155618115379,1781379615,DyLam
209999,570.9450258903113,1781379615,DyLam
210999,594.6003226850471,1781379615,DyLam
211999,554.0000048122483,1781379615,DyLam
212999,580.5356278566617,1781379615,DyLam
213999,597.4469969567087,1781379615,DyLam
214999,591.2226260329415,1781379615,DyLam
215999,587.9430163192429,1781379615,DyLam
216999,572.5726375800245,1781379615,DyLam
217999,579.6677952859876,1781379615,DyLam
218999,573.6236958379058,1781379615,DyLam
219999,582.635248738095,1781379615,DyLam
220999,580.6240789811941,1781379615,DyLam
221999,589.0930699978984,1781379615,DyLam
222999,567.4413099848638,1781379615,DyLam
223999,391.8410846401209,1781379615,DyLam
224999,570.4026943436945,1781379615,DyLam
225999,570.2226445980077,1781379615,DyLam
226999,578.6086020214659,1781379615,DyLam
227999,585.1386132580618,1781379615,DyLam
228999,541.1923688968238,1781379615,DyLam
229999,560.5971895409652,1781379615,DyLam
230999,572.9141840550677,1781379615,DyLam
231999,597.3819791174697,1781379615,DyLam
232999,577.3848731971243,1781379615,DyLam
233999,599.0892996416565,1781379615,DyLam
234999,574.3315020821656,1781379615,DyLam
235999,592.4710253345131,1781379615,DyLam
236999,600.2172033407263,1781379615,DyLam
237999,595.0164620740692,1781379615,DyLam
238999,600.7638012323704,1781379615,DyLam
239999,568.764452750387,1781379615,DyLam
240999,537.3576349181798,1781379615,DyLam
241999,574.5051130515819,1781379615,DyLam
242999,592.4013894459497,1781379615,DyLam
243999,583.0993873325722,1781379615,DyLam
244999,560.1082687099725,1781379615,DyLam
245999,580.1677894939918,1781379615,DyLam
246999,568.5840751893828,1781379615,DyLam
247999,560.9319186339291,1781379615,DyLam
248999,582.0495210702061,1781379615,DyLam
249999,580.6785327803409,1781379615,DyLam
250999,543.4561274740724,1781379615,DyLam
251999,605.5750519051107,1781379615,DyLam
252999,584.4408911331612,1781379615,DyLam
253999,585.0765291532427,1781379615,DyLam
254999,546.4265398164631,1781379615,DyLam
255999,581.8511014133437,1781379615,DyLam
256999,588.5572368933513,1781379615,DyLam
257999,572.7641350290405,1781379615,DyLam
258999,586.7334054816048,1781379615,DyLam
259999,589.034440793364,1781379615,DyLam
260999,591.7229399459939,1781379615,DyLam
261999,580.3823381224468,1781379615,DyLam
262999,592.9356522134352,1781379615,DyLam
263999,541.9386687132499,1781379615,DyLam
264999,583.3640785963387,1781379615,DyLam
265999,599.1799420485636,1781379615,DyLam
266999,595.5787012916784,1781379615,DyLam
267999,607.6336264897302,1781379615,DyLam
268999,580.2826699688729,1781379615,DyLam
269999,582.3271558291586,1781379615,DyLam
270999,590.5238497622106,1781379615,DyLam
271999,603.7304639035065,1781379615,DyLam
272999,590.5049238604298,1781379615,DyLam
273999,586.7593110443871,1781379615,DyLam
274999,585.9090423651285,1781379615,DyLam
275999,597.4355132927524,1781379615,DyLam
276999,585.7038480560867,1781379615,DyLam
277999,586.1342959380594,1781379615,DyLam
278999,582.5884496315412,1781379615,DyLam
279999,592.0207480111231,1781379615,DyLam
280999,603.6068631165393,1781379615,DyLam
281999,616.2777122399665,1781379615,DyLam
282999,625.1407741956756,1781379615,DyLam
283999,579.6889434261353,1781379615,DyLam
284999,602.6192535140759,1781379615,DyLam
285999,581.0053741562895,1781379615,DyLam
286999,616.9652417999146,1781379615,DyLam
287999,411.31009763187075,1781379615,DyLam
288999,578.0446829863505,1781379615,DyLam
289999,134.23916639592724,1781379615,DyLam
290999,536.9262956229253,1781379615,DyLam
291999,574.402276735673,1781379615,DyLam
292999,592.6190533586772,1781379615,DyLam
293999,588.7782386835167,1781379615,DyLam
294999,598.680929453845,1781379615,DyLam
295999,563.488107159527,1781379615,DyLam
296999,583.7445072548016,1781379615,DyLam
297999,603.358961515826,1781379615,DyLam
298999,595.9053969407579,1781379615,DyLam
299999,566.0686175462212,1781379615,DyLam
300999,574.0519920869664,1781379615,DyLam
301999,610.8045739220456,1781379615,DyLam
302999,588.329013559014,1781379615,DyLam
303999,548.4216223810788,1781379615,DyLam
304999,565.8282406581911,1781379615,DyLam
305999,559.5954733641397,1781379615,DyLam
306999,588.9469725976271,1781379615,DyLam
307999,570.484293743759,1781379615,DyLam
308999,577.4844721418676,1781379615,DyLam
309999,578.636127998564,1781379615,DyLam
310999,582.4190913199969,1781379615,DyLam
311999,584.0803310236972,1781379615,DyLam
312999,582.4417808165083,1781379615,DyLam
313999,578.5883036243586,1781379615,DyLam
314999,590.6881457242769,1781379615,DyLam
315999,598.7416459100695,1781379615,DyLam
316999,584.1623669869442,1781379615,DyLam
317999,596.3694099398011,1781379615,DyLam
318999,567.30698291617,1781379615,DyLam
319999,601.4118414753248,1781379615,DyLam
320999,574.496453884143,1781379615,DyLam
321999,594.6923456631434,1781379615,DyLam
322999,602.2196384079047,1781379615,DyLam
323999,590.789239201102,1781379615,DyLam
324999,591.9437487574993,1781379615,DyLam
325999,584.4123705432679,1781379615,DyLam
326999,590.6627349914446,1781379615,DyLam
327999,594.7260662088138,1781379615,DyLam
328999,602.0216145944437,1781379615,DyLam
329999,596.1504110521361,1781379615,DyLam
330999,608.9553986992622,1781379615,DyLam
331999,610.7337994605646,1781379615,DyLam
332999,600.9138701583615,1781379615,DyLam
333999,611.0268580286112,1781379615,DyLam
334999,586.2213695240165,1781379615,DyLam
335999,620.5145393089209,1781379615,DyLam
336999,590.2706928481555,1781379615,DyLam
337999,551.3088092335181,1781379615,DyLam
338999,597.9120452464983,1781379615,DyLam
339999,596.6952575118494,1781379615,DyLam
340999,604.286540583638,1781379615,DyLam
341999,605.391342727035,1781379615,DyLam
342999,602.9499201547198,1781379615,DyLam
343999,594.6422799759735,1781379615,DyLam
344999,596.8493252380566,1781379615,DyLam
345999,602.820197456536,1781379615,DyLam
346999,602.020872504291,1781379615,DyLam
347999,601.8529295977645,1781379615,DyLam
348999,603.9423897894737,1781379615,DyLam
349999,604.7615148965688,1781379615,DyLam
350999,616.5487054967202,1781379615,DyLam
351999,602.1539702298169,1781379615,DyLam
352999,600.9841420615963,1781379615,DyLam
353999,607.8604598127746,1781379615,DyLam
354999,569.7125010032977,1781379615,DyLam
355999,589.8159926972727,1781379615,DyLam
356999,615.5669756444969,1781379615,DyLam
357999,593.3537022854741,1781379615,DyLam
358999,590.0341511036739,1781379615,DyLam
359999,603.1737761407556,1781379615,DyLam
360999,612.6490605467959,1781379615,DyLam
361999,593.021423179293,1781379615,DyLam
362999,608.3183458616048,1781379615,DyLam
363999,615.9859509329508,1781379615,DyLam
364999,588.0979708954087,1781379615,DyLam
365999,616.6699270205046,1781379615,DyLam
366999,618.4937407786658,1781379615,DyLam
367999,633.9092681087707,1781379615,DyLam
368999,621.2847200113498,1781379615,DyLam
369999,610.3919380544829,1781379615,DyLam
