_step,ep_info/ctrl,seed,method
999,-330.35189974059693,1781379615,DyLam
1999,-336.6585760960983,1781379615,DyLam
2999,-333.5924883534514,1781379615,DyLam
3999,-335.49073594808567,1781379615,DyLam
4999,-332.810787757238,1781379615,DyLam
5999,-361.16259590784665,1781379615,DyLam
6999,-353.23244042197865,1781379615,DyLam
7999,-343.09672149022407,1781379615,DyLam
8999,-347.2577110379932,1781379615,DyLam
9999,-345.81908449033824,1781379615,DyLam
10999,-343.9872054109963,1781379615,DyLam
11999,-336.60515317693296,1781379615,DyLam
12999,-336.07424763838446,1781379615,DyLam
13999,-322.22068443894364,1781379615,DyLam
14999,-326.26890106995876,1781379615,DyLam
15999,-318.9310699452959,1781379615,DyLam
16999,-317.8860367387535,1781379615,DyLam
17999,-301.02516838287306,1781379615,DyLam
18999,-291.46071248749917,1781379615,DyLam
19999,-290.7570953021446,1781379615,DyLam
20999,-279.82677947357297,1781379615,DyLam
21999,-260.73110279937595,1781379615,DyLam
22999,-245.54659988979515,1781379615,DyLam
23999,-236.3531875250243,1781379615,DyLam
24999,-224.45572888975335,1781379615,DyLam
25999,-197.59130162683596,1781379615,DyLam
26999,-193.64449958751607,1781379615,DyLam
27999,-164.20943478556978,1781379615,DyLam
28999,-149.062824493895,1781379615,DyLam
29999,-142.00953421990067,1781379615,DyLam
30999,-119.16050862645112,1781379615,DyLam
31999,-108.78611462935797,1781379615,DyLam
32999,-258.9301565339169,1781379615,DyLam
33999,-252.83380837614337,1781379615,DyLam
34999,-260.0957862933479,1781379615,DyLam
35999,-261.38602626572066,1781379615,DyLam
36999,-312.5919001003107,1781379615,DyLam
37999,-323.3013715942698,1781379615,DyLam
38999,-339.45397484054195,1781379615,DyLam
39999,-394.1470473557709,1781379615,DyLam
40999,-422.87219694753503,1781379615,DyLam
41999,-461.12226765851216,1781379615,DyLam
42999,-315.07341281821374,1781379615,DyLam
43999,-475.81836139162345,1781379615,DyLam
44999,-500.1388595104217,1781379615,DyLam
45999,-512.4422762195265,1781379615,DyLam
46999,-522.3372174799438,1781379615,DyLam
47999,-519.1214425414795,1781379615,DyLam
48999,-533.8586403777202,1781379615,DyLam
49999,-371.7311856200299,1781379615,DyLam
50999,-529.5913237296045,1781379615,DyLam
51999,-543.0609675943851,1781379615,DyLam
52999,-531.5818626036252,1781379615,DyLam
53999,-536.7332903395095,1781379615,DyLam
54999,-547.8349332747363,1781379615,DyLam
55999,-532.5635688900948,1781379615,DyLam
56999,-524.2830508599673,1781379615,DyLam
57999,-397.4227437342829,1781379615,DyLam
58999,-513.1906832704935,1781379615,DyLam
59999,-491.6056650231284,1781379615,DyLam
60999,-492.13114204257687,1781379615,DyLam
61999,-482.726558356235,1781379615,DyLam
62999,-459.2935929683347,1781379615,DyLam
63999,-443.95855767031543,1781379615,DyLam
64999,-422.8922053103644,1781379615,DyLam
65999,-413.89284540588625,1781379615,DyLam
66999,-398.6227901342014,1781379615,DyLam
67999,-376.6875442912181,1781379615,DyLam
68999,-353.9159413563716,1781379615,DyLam
69999,-345.5585309962427,1781379615,DyLam
70999,-328.3850016792616,1781379615,DyLam
71999,-321.296246652802,1781379615,DyLam
72999,-313.3012981961171,1781379615,DyLam
73999,-302.3445619223643,1781379615,DyLam
74999,-308.2319117536147,1781379615,DyLam
75999,-300.16764077326906,1781379615,DyLam
76999,-299.5202248245477,1781379615,DyLam
77999,-301.6641349121923,1781379615,DyLam
78999,-303.6521989429987,1781379615,DyLam
79999,-306.22608658857655,1781379615,DyLam
80999,-297.04169099964207,1781379615,DyLam
81999,-303.3686987559,1781379615,DyLam
82999,-309.6560410186654,1781379615,DyLam
83999,-309.7835675428314,1781379615,DyLam
84999,-318.42965274925047,1781379615,DyLam
85999,-315.362190189461,1781379615,DyLam
86999,-317.3966239225119,1781379615,DyLam
87999,-333.4223004207016,1781379615,DyLam
88999,-334.3485391748444,1781379615,DyLam
89999,-343.8903779226046,1781379615,DyLam
90999,-349.69286549588065,1781379615,DyLam
91999,-363.5736809770267,1781379615,DyLam
92999,-363.19603134691755,1781379615,DyLam
93999,-361.4911271731064,1781379615,DyLam
94999,-372.14646304398786,1781379615,DyLam
95999,-367.6879297147195,1781379615,DyLam
96999,-367.01807421942533,1781379615,DyLam
97999,-372.7725646942851,1781379615,DyLam
98999,-372.65275882184517,1781379615,DyLam
99999,-376.7505376736325,1781379615,DyLam
100999,-379.64633379628253,1781379615,DyLam
101999,-370.2724767550827,1781379615,DyLam
102999,-381.37355718016624,1781379615,DyLam
103999,-378.294268488884,1781379615,DyLam
104999,-375.4549113462369,1781379615,DyLam
105999,-372.78246998786966,1781379615,DyLam
106999,-371.69373659292825,1781379615,DyLam
107999,-380.1990068852903,1781379615,DyLam
108999,-381.0134715909756,1781379615,DyLam
