_step,ep_info/Move,seed,method
84,3.690197720516744,1778554757,DyLam
1430,-0.94430011411292,1778554757,DyLam
1981,-2.2386717039846538,1778554757,DyLam
2084,-4.653885593307534,1778554757,DyLam
2230,-2.16901479287098,1778554757,DyLam
2960,-7.031241515649006,1778554757,DyLam
3360,13.678458978843327,1778554757,DyLam
3406,-4.287040851359813,1778554757,DyLam
3581,-9.718066533413628,1778554757,DyLam
3806,4.784166494725943,1778554757,DyLam
4064,3.2316841606416262,1778554757,DyLam
4206,-5.955122999157193,1778554757,DyLam
4396,1.6262605276065143,1778554757,DyLam
4484,-3.54154515376817,1778554757,DyLam
4603,-5.224239874919392,1778554757,DyLam
5129,-3.9895832927287573,1778554757,DyLam
5581,-0.4075877824708139,1778554757,DyLam
6084,-5.42281266598516,1778554757,DyLam
6160,-12.726125180146008,1778554757,DyLam
6484,-3.331021213888601,1778554757,DyLam
6725,-5.885719469833985,1778554757,DyLam
6729,-0.9475882837002153,1778554757,DyLam
6781,-4.836571857325875,1778554757,DyLam
6799,-6.240235999930712,1778554757,DyLam
6884,-3.6773888600534894,1778554757,DyLam
7403,-2.1054991236926073,1778554757,DyLam
7525,-3.070539392470151,1778554757,DyLam
7536,-1.0193471515028123,1778554757,DyLam
8144,2.559660369195613,1778554757,DyLam
8664,-1.4552479157308984,1778554757,DyLam
9003,-1.354705424380906,1778554757,DyLam
9264,-10.674796271297385,1778554757,DyLam
9525,1.1740433405188593,1778554757,DyLam
10203,4.05076068442504,1778554757,DyLam
10383,-8.58579815699156,1778554757,DyLam
10396,-0.15965434889968932,1778554757,DyLam
10484,-6.492296628459063,1778554757,DyLam
10935,9.103198082945578,1778554757,DyLam
11183,-6.055627565755986,1778554757,DyLam
11199,-2.597366655746707,1778554757,DyLam
11403,0.7668612073706631,1778554757,DyLam
11852,2.4740862640733625,1778554757,DyLam
11983,-0.6453664609329215,1778554757,DyLam
11996,-1.5698845023760553,1778554757,DyLam
