obj1,obj2,wall_time_min,seed,point_index
89.30035840496544,-27.944410350029376,8247.38384629488,0,0
639.2238412815844,-34.85853077270813,8247.38384629488,0,1
798.2014548007749,-35.87054385434603,8247.38384629488,0,2
830.5449383182975,-36.16592572362733,8247.38384629488,0,3
850.2161752311164,-36.39486380925732,8247.38384629488,0,4
871.7368945175316,-36.84224630748277,8247.38384629488,0,5
874.9111262328108,-37.239490750030654,8247.38384629488,0,6
903.9433612955968,-37.36494277285082,8247.38384629488,0,7
12.0238745088057,-22.90810093461864,1530.80412123998,42,0
10.089112962347226,-22.03875649333633,1530.80412123998,42,1
10.577671854209813,-22.44180189692312,1530.80412123998,42,2
13.806030322133484,-24.534838406699016,1530.80412123998,42,3
11.13694713790981,-22.59972081960994,1530.80412123998,42,4
14.466702411870056,-25.82669612851342,1530.80412123998,42,5
14.825637266318845,-26.254716642209832,1530.80412123998,42,6
15.070145754689436,-27.69414841341183,1530.80412123998,42,7
16.784637088800277,-30.357257801158788,1530.80412123998,42,8
23.27833147446166,-33.552965441163884,1530.80412123998,42,9
165.7440854177401,-68.1114070809825,1530.80412123998,42,10
526.2347919939014,-135.98691451746876,1530.80412123998,42,11
542.2109952724313,-140.4547159550856,1530.80412123998,42,12
554.7792296464355,-145.31580045752588,1530.80412123998,42,13
562.9871855908017,-145.50454601347366,1530.80412123998,42,14
563.2299997430393,-146.45800606739004,1530.80412123998,42,15
582.4145835514659,-153.7341131502829,1530.80412123998,42,16
587.6756763588683,-157.2359865765335,1530.80412123998,42,17
601.4432338853596,-159.88551988768117,1530.80412123998,42,18
608.7522383801336,-164.21389239562194,1530.80412123998,42,19
611.3779935295175,-168.5826123571259,1530.80412123998,42,20
625.4066429771203,-169.5921852781076,1530.80412123998,42,21
630.3067306938044,-173.1901608516157,1530.80412123998,42,22
632.6295806386329,-176.69957473886612,1530.80412123998,42,23
637.7666470157008,-181.65001514942568,1530.80412123998,42,24
639.0279433796247,-182.52810929009064,1530.80412123998,42,25
642.295370525561,-183.478613530253,1530.80412123998,42,26
655.2168613622334,-190.54707952238184,1530.80412123998,42,27
655.352428647959,-192.50744532500417,1530.80412123998,42,28
670.2999513007653,-197.0820189183052,1530.80412123998,42,29
664.7033224044837,-193.2912912349273,1530.80412123998,42,30
675.2232582165525,-201.38091454262707,1530.80412123998,42,31
678.6418012370135,-208.47918690614375,1530.80412123998,42,32
686.6548329163091,-208.7185276003623,1530.80412123998,42,33
686.9322385592177,-210.24087595973495,1530.80412123998,42,34
695.1866260818085,-211.95531053213531,1530.80412123998,42,35
699.4476083288384,-219.14993539129563,1530.80412123998,42,36
702.740992549158,-219.4871810688849,1530.80412123998,42,37
711.153810414218,-231.36398871214888,1530.80412123998,42,38
707.0440923888369,-227.9359936090077,1530.80412123998,42,39
896.523636147275,-38.76611192804794,8135.618457726638,8,0
927.2487802776392,-39.24340470294574,8135.618457726638,8,1
948.5976569953956,-39.7883852768271,8135.618457726638,8,2
967.7523285634234,-40.02395317819937,8135.618457726638,8,3
958.5167479635566,-39.90809193691676,8135.618457726638,8,4
949.564120624226,-39.81138243179794,8135.618457726638,8,5
971.004318540229,-40.55295237868813,8135.618457726638,8,6
939.9762662121908,-39.787907361213726,8135.618457726638,8,7
953.7206055561662,-39.83185258484082,8135.618457726638,8,8
198.208144557746,-31.14871910392376,8571.751759811243,7,0
307.2470618709755,-33.7589717401861,8571.751759811243,7,1
570.7777336671949,-33.83440960711759,8571.751759811243,7,2
576.1707205523911,-34.553005097669576,8571.751759811243,7,3
573.1158758939594,-33.94692513819928,8571.751759811243,7,4
575.3855507878063,-34.52456512697627,8571.751759811243,7,5
573.9578369738243,-34.39456461307918,8571.751759811243,7,6
580.9719212141412,-34.96428195223943,8571.751759811243,7,7
578.6269727214006,-34.61209012323197,8571.751759811243,7,8
579.2387684385991,-34.69464016507136,8571.751759811243,7,9
953.4856883036322,-36.86488670251747,8536.780564816794,6,0
962.7919145125312,-37.48020902966291,8536.780564816794,6,1
962.425951500493,-37.19180155241711,8536.780564816794,6,2
956.48039606472,-36.906314925046445,8536.780564816794,6,3
963.7107622079202,-37.56736065779787,8536.780564816794,6,4
964.8142553815268,-37.91969655378716,8536.780564816794,6,5
971.1862784702098,-40.96956729807808,7891.284070209662,5,0
977.5427916884888,-41.05222486917192,7891.284070209662,5,1
986.1635981051716,-41.19917452955506,7891.284070209662,5,2
905.2809118093109,-40.006845669575526,8355.738350637754,4,0
949.2865739455912,-40.866747752902846,8355.738350637754,4,1
986.1449669324328,-40.95820404655478,8355.738350637754,4,2
988.216465463501,-41.08823986407988,8355.738350637754,4,3
992.1505122755888,-41.186257869411385,8355.738350637754,4,4
764.805850317952,-33.906034828131894,9100.042387839158,2,0
817.0351424853259,-34.90210993802532,9100.042387839158,2,1
834.8705181328347,-36.45514308772631,9100.042387839158,2,2
849.7215200403822,-36.8116737325433,9100.042387839158,2,3
868.1728125230991,-36.84385638962044,9100.042387839158,2,4
871.8888806894305,-36.92477118618162,9100.042387839158,2,5
876.3688650135766,-37.24939145103608,9100.042387839158,2,6
872.6015177116147,-37.01161088530462,9100.042387839158,2,7
874.6528053199872,-37.092757054105576,9100.042387839158,2,8
25.61247268521409,-23.54958506662001,608.1236468791961,9,0
21.632818302721244,-22.228613129419635,608.1236468791961,9,1
22.384447395002045,-22.8317562720335,608.1236468791961,9,2
29.23970820017819,-25.999989607624524,608.1236468791961,9,3
608.9268627501849,-36.99743756454564,608.1236468791961,9,4
615.7555417845608,-37.07716672576807,608.1236468791961,9,5
618.0992034999712,-36.60084579540726,608.1236468791961,9,6
631.6360206619953,-36.477154797844925,608.1236468791961,9,7
637.2262825120881,-36.537751052316345,608.1236468791961,9,8
617.063184011419,-36.482490799946206,608.1236468791961,9,9
615.1238471913791,-36.89706313284951,608.1236468791961,9,10
618.240855362604,-36.53365885291733,608.1236468791961,9,11
633.0497085237469,-36.38566617347942,608.1236468791961,9,12
626.6960906037245,-36.28050258636404,608.1236468791961,9,13
637.2476401984343,-36.32320782132829,608.1236468791961,9,14
631.3348444431322,-36.28774846764154,608.1236468791961,9,15
619.4419441587874,-36.87205300339228,608.1236468791961,9,16
625.3829782576183,-36.62809843088071,608.1236468791961,9,17
627.2488121341273,-37.07572912735295,608.1236468791961,9,18
629.9373586699309,-36.50618483212647,608.1236468791961,9,19
626.6751757609367,-36.90251688975441,608.1236468791961,9,20
634.1879301607784,-36.11099342997013,608.1236468791961,9,21
615.5261180291011,-37.49422643080343,608.1236468791961,9,22
619.938616821228,-36.52066429780207,608.1236468791961,9,23
631.6442673881771,-36.54903493185429,608.1236468791961,9,24
618.7145368998579,-36.73427846842842,608.1236468791961,9,25
620.2244415656023,-36.77773277461747,608.1236468791961,9,26
627.1895137840532,-36.42138003909586,608.1236468791961,9,27
621.2704872606846,-36.34603577783355,608.1236468791961,9,28
636.9356446210411,-36.59957704140534,608.1236468791961,9,29
629.753174628946,-36.84433962455596,608.1236468791961,9,30
629.2870292207401,-36.92425418184102,608.1236468791961,9,31
635.5108067665948,-37.04645346556381,608.1236468791961,9,32
629.024888881488,-37.09299861109603,608.1236468791961,9,33
629.7920074827562,-36.76723919521619,608.1236468791961,9,34
628.227657989919,-36.23333442427556,608.1236468791961,9,35
629.2364973685005,-36.71452748114352,608.1236468791961,9,36
624.9752973798662,-36.31494394248775,608.1236468791961,9,37
626.213899687212,-36.4446522897686,608.1236468791961,9,38
619.1969936360489,-36.579875210739104,608.1236468791961,9,39
628.8515121194417,-36.265073194426535,608.1236468791961,9,40
632.5196752260206,-36.38129989093368,608.1236468791961,9,41
638.4925337685388,-36.08658375514888,608.1236468791961,9,42
625.8121248313225,-36.60722571170927,608.1236468791961,9,43
634.8841993482492,-36.52502565837367,608.1236468791961,9,44
620.1674057286116,-36.99723079294326,608.1236468791961,9,45
629.9074139657081,-36.62738128854735,608.1236468791961,9,46
636.5250656954013,-36.59218450959779,608.1236468791961,9,47
634.2492915160256,-36.354350623319895,608.1236468791961,9,48
637.333956879226,-36.37443194772877,608.1236468791961,9,49
629.2974088325224,-36.86109527571243,608.1236468791961,9,50
625.4699100079655,-36.3662329153005,608.1236468791961,9,51
630.5679661424423,-36.729331747572544,608.1236468791961,9,52
629.1676268858952,-36.69279643420796,608.1236468791961,9,53
632.214861304313,-36.47549084320399,608.1236468791961,9,54
625.3895715083752,-36.282720309890735,608.1236468791961,9,55
635.883013113588,-36.87826364313951,608.1236468791961,9,56
635.7744157460809,-36.29444584238372,608.1236468791961,9,57
623.0797426582606,-36.9514538981508,608.1236468791961,9,58
635.5912090460537,-36.59731158701188,608.1236468791961,9,59
634.7145490675233,-36.282270589010935,608.1236468791961,9,60
631.5673669229029,-35.95795385892761,608.1236468791961,9,61
630.3106234197854,-36.31990534881906,608.1236468791961,9,62
632.3146574541461,-36.489478238300215,608.1236468791961,9,63
638.8022819079691,-36.47678681318803,608.1236468791961,9,64
625.4887765553606,-36.79151450240151,608.1236468791961,9,65
635.8359123203729,-36.68455123527865,608.1236468791961,9,66
627.715770691412,-36.18687930858359,608.1236468791961,9,67
638.7922241338471,-36.49403323625429,608.1236468791961,9,68
632.522487094882,-36.56243624646849,608.1236468791961,9,69
640.3362589511962,-36.22573391701744,608.1236468791961,9,70
617.78708038131,-37.01574435498905,608.1236468791961,9,71
624.9661121035169,-36.6625714051318,608.1236468791961,9,72
633.4158013763081,-36.13873944987481,608.1236468791961,9,73
635.545127664908,-37.05428414313055,608.1236468791961,9,74
630.8567338588822,-36.84166689214453,608.1236468791961,9,75
609.6122145122441,-37.10103207104876,608.1236468791961,9,76
626.4633588737285,-36.4841092452556,608.1236468791961,9,77
633.5036130004737,-36.94032612111941,608.1236468791961,9,78
629.3773615008337,-36.30359200997127,608.1236468791961,9,79
639.201630743721,-35.77922133967131,608.1236468791961,9,80
632.0636767023941,-36.075421925051614,608.1236468791961,9,81
622.9977352118119,-36.612230522886605,608.1236468791961,9,82
627.2517430867301,-36.571402393936026,608.1236468791961,9,83
628.6134733898914,-36.48620333480339,608.1236468791961,9,84
627.9598235586425,-36.48193790389705,608.1236468791961,9,85
626.0543602363789,-36.423467217276176,608.1236468791961,9,86
626.4583723348973,-36.03590226176029,608.1236468791961,9,87
633.8536425816594,-36.92363125381807,608.1236468791961,9,88
633.219324283069,-36.45721797283268,608.1236468791961,9,89
626.9659577822953,-37.106487089658366,608.1236468791961,9,90
632.1416103215248,-36.745406140698925,608.1236468791961,9,91
630.6695814595616,-36.611627622694414,608.1236468791961,9,92
633.9743159333244,-36.40012934444576,608.1236468791961,9,93
630.283884844734,-37.2170494027956,608.1236468791961,9,94
626.7454856639088,-36.892701616918295,608.1236468791961,9,95
639.8517813809798,-36.566233624520464,608.1236468791961,9,96
621.2092116396467,-36.708894422486445,608.1236468791961,9,97
624.2240854029427,-35.864221234694014,608.1236468791961,9,98
629.6835832037614,-36.23946108916825,608.1236468791961,9,99
-0.952755494862879,-17.85532453666765,574.8837839802106,6,0
-0.3122584604734054,-18.02964621300871,574.8837839802106,6,1
-0.8047400646513948,-17.923891551953055,574.8837839802106,6,2
3.969488571850576,-18.59481953504569,574.8837839802106,6,3
393.6383268400241,-28.33836187320594,574.8837839802106,6,4
671.3945854632126,-34.98835425972184,574.8837839802106,6,5
697.7144038159225,-35.358092025369935,574.8837839802106,6,6
699.9789394704683,-35.539694168311506,574.8837839802106,6,7
700.0128632945474,-35.5805345851099,574.8837839802106,6,8
708.4520879673364,-35.73139636243177,574.8837839802106,6,9
709.6953415986093,-35.3890352334095,574.8837839802106,6,10
712.196008687024,-35.59295059301248,574.8837839802106,6,11
710.6804551208916,-36.02792883534289,574.8837839802106,6,12
717.8318356981035,-36.11768724740296,574.8837839802106,6,13
713.509358628391,-35.758988493128435,574.8837839802106,6,14
714.2454938994954,-36.3062965779669,574.8837839802106,6,15
723.9901931218512,-36.004303581134494,574.8837839802106,6,16
709.6477670537366,-35.72793919391415,574.8837839802106,6,17
723.6850814150996,-36.25782132425752,574.8837839802106,6,18
707.3663444075908,-36.07900255400536,574.8837839802106,6,19
716.6507469631324,-36.271776579842665,574.8837839802106,6,20
733.2734603906923,-35.96138898709519,574.8837839802106,6,21
714.8121973041677,-36.20021234660253,574.8837839802106,6,22
705.4668114233879,-36.12636320641195,574.8837839802106,6,23
724.0571732560754,-36.51371876246435,574.8837839802106,6,24
724.8989290404658,-36.052271877668,574.8837839802106,6,25
725.0868749972782,-36.291811642385525,574.8837839802106,6,26
713.4033086570213,-36.352026738532274,574.8837839802106,6,27
712.7619224835595,-36.19038448197057,574.8837839802106,6,28
722.1097963985405,-36.112397871633945,574.8837839802106,6,29
725.3823885883728,-36.06235555852327,574.8837839802106,6,30
708.4750109762302,-36.49967614660945,574.8837839802106,6,31
714.4010717170662,-36.18757963805463,574.8837839802106,6,32
724.424792790605,-36.25788469613731,574.8837839802106,6,33
726.6861261273094,-36.30887940877883,574.8837839802106,6,34
725.7230878333387,-36.20343546326276,574.8837839802106,6,35
722.1623163672746,-36.468724317521534,574.8837839802106,6,36
729.7513247172756,-36.11577853923954,574.8837839802106,6,37
723.3501938547706,-36.651914787852135,574.8837839802106,6,38
730.326370103762,-36.26778617217583,574.8837839802106,6,39
